GO_terms	freq
GO:0006353	3
GO:0006354	1
GO:0006355	14
GO:0006364	10
GO:0006396	4
GO:0006400	7
GO:0006401	1
GO:0006402	5
GO:0006412	53
GO:0006413	3
GO:0006414	4
GO:0006415	3
GO:0006418	13
GO:0006419	1
GO:0006420	1
GO:0006422	1
GO:0006423	1
GO:0006424	2
GO:0006426	2
GO:0006427	1
GO:0006428	1
GO:0006429	1
GO:0006430	1
GO:0006431	1
GO:0006432	2
GO:0006433	1
GO:0006434	1
GO:0006435	1
GO:0006436	1
GO:0006437	1
GO:0006438	1
GO:0006446	1
GO:0006450	1
GO:0006457	11
GO:0006465	1
GO:0006479	2
GO:0006487	1
GO:0006508	16
GO:0006515	2
GO:0006518	1
GO:0006520	3
GO:0006522	1
GO:0006523	1
GO:0006524	1
GO:0006525	1
GO:0006526	1
GO:0006527	1
GO:0006531	1
GO:0006534	1
GO:0006535	1
GO:0006537	1
GO:0006541	2
GO:0006542	1
GO:0006556	1
GO:0006561	1
GO:0006564	2
GO:0006565	1
GO:0006566	1
GO:0006568	3
GO:0006571	1
GO:0006605	4
GO:0006614	2
GO:0006616	1
GO:0006629	2
GO:0006633	11
GO:0006646	1
GO:0006654	2
GO:0006725	1
GO:0006729	1
GO:0006730	1
GO:0006741	1
GO:0006744	3
GO:0006749	2
GO:0006751	1
GO:0006753	1
GO:0006760	1
GO:0006771	1
GO:0006772	2
GO:0006777	3
GO:0006779	2
GO:0006780	1
GO:0006782	1
GO:0006783	3
GO:0006796	1
GO:0006799	1
GO:0006801	1
GO:0006807	13
GO:0006812	7
GO:0006814	3
GO:0006817	1
GO:0006824	1
GO:0006825	1
GO:0006826	4
GO:0006865	7
GO:0006879	2
GO:0006880	1
GO:0006885	1
GO:0006886	4
GO:0006935	10
GO:0006974	2
GO:0006979	6
GO:0007059	1
GO:0007155	1
GO:0007165	13
GO:0008033	9
GO:0008047	1
GO:0008080	1
GO:0008081	1
GO:0008097	2
GO:0008107	1
GO:0008113	1
GO:0008134	1
GO:0008137	7
GO:0008146	1
GO:0008168	21
GO:0008170	16
GO:0008173	2
GO:0008176	1
GO:0008186	1
GO:0008198	2
GO:0008199	2
GO:0008233	5
GO:0008236	2
GO:0008237	1
GO:0008252	1
GO:0008253	1
GO:0008254	1
GO:0008270	14
GO:0008276	2
GO:0008295	1
GO:0008299	5
GO:0008311	1
GO:0008312	1
GO:0008320	3
GO:0008324	2
GO:0008360	4
GO:0008379	3
GO:0008381	1
GO:0008408	4
GO:0008409	3
GO:0008410	2
GO:0008444	1
GO:0008446	1
GO:0008479	1
GO:0008483	3
GO:0008531	1
GO:0008610	3
GO:0008615	1
GO:0008616	3
GO:0008641	2
GO:0008649	1
GO:0008652	2
GO:0008654	6
GO:0008658	3
GO:0008661	1
GO:0008676	1
GO:0008685	1
GO:0008686	2
GO:0008690	1
GO:0008694	1
GO:0008710	1
GO:0008712	1
GO:0008713	4
GO:0008716	1
GO:0008745	1
GO:0008757	1
GO:0008758	2
GO:0008759	1
GO:0008760	1
GO:0008762	1
GO:0008763	1
GO:0008764	1
GO:0008776	1
GO:0008780	1
GO:0008781	2
GO:0008782	1
GO:0008784	1
GO:0008792	1
GO:0008797	1
GO:0008829	1
GO:0008834	1
GO:0008836	2
GO:0008837	1
GO:0008839	1
GO:0008840	1
GO:0008841	1
GO:0008855	2
GO:0008864	1
GO:0008881	1
GO:0008883	1
GO:0008897	1
GO:0008901	1
GO:0008902	1
GO:0008915	1
GO:0008920	1
GO:0008924	1
GO:0008930	1
GO:0008955	1
GO:0008961	1
GO:0008962	1
GO:0008963	1
GO:0008966	1
GO:0008967	1
GO:0008968	1
GO:0008972	1
GO:0008973	1
GO:0008976	1
GO:0008977	1
GO:0008986	1
GO:0008987	1
GO:0009001	1
GO:0009002	1
GO:0009007	9
GO:0009014	1
GO:0009029	1
GO:0009035	1
GO:0009036	1
GO:0009039	1
GO:0009041	1
GO:0009051	1
GO:0009052	2
GO:0009055	11
GO:0009058	20
GO:0009060	6
GO:0009061	2
GO:0009073	4
GO:0009081	1
GO:0009082	1
GO:0009086	1
GO:0009088	2
GO:0009089	8
GO:0009090	1
GO:0009097	2
GO:0009099	1
GO:0009102	4
GO:0009103	2
GO:0009113	1
GO:0009116	3
GO:0009117	1
GO:0009123	1
GO:0009132	1
GO:0009152	1
GO:0009164	1
GO:0009165	1
GO:0009166	1
GO:0009220	1
GO:0009228	3
GO:0009229	1
GO:0009231	5
GO:0009234	4
GO:0009244	8
GO:0009245	8
GO:0009252	7
GO:0009253	1
GO:0009255	1
GO:0009263	2
GO:0009267	1
GO:0009279	9
GO:0009288	10
GO:0009294	1
GO:0009295	1
GO:0009298	1
GO:0009306	6
GO:0009307	7
GO:0009314	1
GO:0009317	3
GO:0009318	2
GO:0009328	1
GO:0009330	1
GO:0009349	1
GO:0009358	1
GO:0009360	3
GO:0009368	1
GO:0009372	1
GO:0009375	1
GO:0009376	3
GO:0009378	2
GO:0009379	1
GO:0009380	2
GO:0009381	1
GO:0009396	3
GO:0009398	1
GO:0009403	1
GO:0009408	3
GO:0009421	1
GO:0009423	3
GO:0009424	2
GO:0009425	4
GO:0009426	1
GO:0009427	1
GO:0009428	1
GO:0009431	1
GO:0009432	1
GO:0009435	4
GO:0009446	1
GO:0009451	6
GO:0009697	1
GO:0009898	4
GO:0009977	1
GO:0009982	6
GO:0010033	1
GO:0010133	1
GO:0010181	3
GO:0010216	1
GO:0010424	1
GO:0015031	6
GO:0015035	3
GO:0015074	1
GO:0015078	4
GO:0015086	1
GO:0015087	1
GO:0015093	1
GO:0015095	1
GO:0015099	2
GO:0015129	2
GO:0015171	2
GO:0015193	1
GO:0015205	1
GO:0015293	1
GO:0015295	2
GO:0015297	4
GO:0015344	3
GO:0015385	1
GO:0015421	1
GO:0015424	1
GO:0015450	2
GO:0015483	1
GO:0015501	1
GO:0015556	1
GO:0015562	3
GO:0015648	1
GO:0015666	1
GO:0015668	1
GO:0015693	1
GO:0015727	2
GO:0015740	1
GO:0015757	1
GO:0015813	1
GO:0015824	1
GO:0015833	4
GO:0015891	1
GO:0015914	1
GO:0015920	3
GO:0015934	9
GO:0015935	13
GO:0015937	3
GO:0015940	3
GO:0015941	1
GO:0015949	1
GO:0015969	1
GO:0015986	9
GO:0015990	4
GO:0016020	126
GO:0016021	4
GO:0016051	1
GO:0016094	1
GO:0016114	4
GO:0016149	2
GO:0016151	9
GO:0016208	2
GO:0016209	3
GO:0016226	3
GO:0016301	3
GO:0016310	4
GO:0016311	2
GO:0016407	1
GO:0016410	2
GO:0016462	1
GO:0016485	1
GO:0016491	24
GO:0016597	1
GO:0016614	1
GO:0016616	5
GO:0016620	4
