GO_terms	namespace	freq
GO:0004673	molecular_function	1
GO:0004719	molecular_function	1
GO:0004731	molecular_function	1
GO:0004735	molecular_function	1
GO:0004746	molecular_function	1
GO:0004748	molecular_function	1
GO:0004749	molecular_function	1
GO:0004750	molecular_function	1
GO:0004751	molecular_function	1
GO:0004764	molecular_function	1
GO:0004765	molecular_function	1
GO:0004784	molecular_function	1
GO:0004788	molecular_function	1
GO:0004789	molecular_function	1
GO:0004791	molecular_function	2
GO:0004792	molecular_function	1
GO:0004798	molecular_function	1
GO:0004799	molecular_function	1
GO:0004801	molecular_function	1
GO:0004802	molecular_function	1
GO:0004810	molecular_function	1
GO:0004812	molecular_function	17
GO:0004813	molecular_function	1
GO:0004814	molecular_function	1
GO:0004815	molecular_function	1
GO:0004817	molecular_function	1
GO:0004818	molecular_function	2
GO:0004820	molecular_function	2
GO:0004821	molecular_function	1
GO:0004822	molecular_function	1
GO:0004823	molecular_function	1
GO:0004824	molecular_function	1
GO:0004825	molecular_function	1
GO:0004826	molecular_function	2
GO:0004827	molecular_function	1
GO:0004828	molecular_function	1
GO:0004829	molecular_function	1
GO:0004830	molecular_function	1
GO:0004831	molecular_function	1
GO:0004832	molecular_function	1
GO:0004834	molecular_function	2
GO:0004844	molecular_function	1
GO:0004852	molecular_function	1
GO:0005047	molecular_function	2
GO:0005048	molecular_function	1
GO:0005198	molecular_function	6
GO:0005215	molecular_function	4
GO:0005283	molecular_function	1
GO:0005298	molecular_function	1
GO:0005315	molecular_function	1
GO:0005337	molecular_function	1
GO:0005345	molecular_function	1
GO:0005354	molecular_function	1
GO:0005355	molecular_function	1
GO:0005506	molecular_function	7
GO:0005507	molecular_function	3
GO:0005515	molecular_function	28
GO:0005524	molecular_function	114
GO:0005525	molecular_function	19
GO:0005536	molecular_function	1
GO:0005543	molecular_function	1
GO:0005548	molecular_function	1
GO:0005576	cellular_component	1
GO:0005618	cellular_component	1
GO:0005622	cellular_component	3
GO:0005634	cellular_component	3
GO:0005694	cellular_component	4
GO:0005730	cellular_component	1
GO:0005737	cellular_component	105
GO:0005739	cellular_component	3
GO:0005789	cellular_component	1
GO:0005829	cellular_component	156
GO:0005839	cellular_component	1
GO:0005840	cellular_component	48
GO:0005886	cellular_component	54
GO:0005951	cellular_component	1
GO:0005971	cellular_component	1
GO:0005975	biological_process	16
GO:0005976	biological_process	1
GO:0005986	biological_process	1
GO:0006000	biological_process	1
GO:0006002	biological_process	2
GO:0006006	biological_process	3
GO:0006007	biological_process	1
GO:0006011	biological_process	1
GO:0006012	biological_process	1
GO:0006015	biological_process	1
GO:0006047	biological_process	1
GO:0006048	biological_process	2
GO:0006072	biological_process	1
GO:0006082	biological_process	1
GO:0006083	biological_process	1
GO:0006085	biological_process	1
GO:0006090	biological_process	1
GO:0006094	biological_process	3
GO:0006096	biological_process	5
GO:0006098	biological_process	4
GO:0006099	biological_process	8
GO:0006106	biological_process	1
GO:0006108	biological_process	1
GO:0006109	biological_process	1
GO:0006139	biological_process	4
GO:0006145	biological_process	1
GO:0006152	biological_process	1
GO:0006163	biological_process	2
GO:0006164	biological_process	4
GO:0006168	biological_process	1
GO:0006177	biological_process	1
GO:0006183	biological_process	2
GO:0006189	biological_process	1
GO:0006207	biological_process	4
GO:0006221	biological_process	3
GO:0006222	biological_process	2
GO:0006225	biological_process	1
GO:0006226	biological_process	1
GO:0006227	biological_process	1
GO:0006228	biological_process	1
GO:0006229	biological_process	1
GO:0006231	biological_process	1
GO:0006233	biological_process	1
GO:0006235	biological_process	1
GO:0006241	biological_process	2
GO:0006259	biological_process	2
GO:0006260	biological_process	12
GO:0006261	biological_process	3
GO:0006265	biological_process	3
GO:0006268	biological_process	3
GO:0006269	biological_process	1
GO:0006270	biological_process	3
GO:0006271	biological_process	1
GO:0006275	biological_process	1
GO:0006281	biological_process	18
GO:0006284	biological_process	5
GO:0006285	biological_process	2
GO:0006288	biological_process	1
GO:0006289	biological_process	2
GO:0006298	biological_process	5
GO:0006302	biological_process	3
GO:0006304	biological_process	2
GO:0006308	biological_process	2
GO:0006310	biological_process	9
GO:0006351	biological_process	3
GO:0006352	biological_process	3
GO:0006353	biological_process	3
GO:0006354	biological_process	2
GO:0006355	biological_process	14
GO:0006364	biological_process	10
GO:0006396	biological_process	5
GO:0006400	biological_process	7
GO:0006401	biological_process	1
GO:0006402	biological_process	5
GO:0006412	biological_process	56
GO:0006413	biological_process	3
GO:0006414	biological_process	4
GO:0006415	biological_process	3
GO:0006418	biological_process	15
GO:0006419	biological_process	1
GO:0006420	biological_process	1
GO:0006422	biological_process	1
GO:0006423	biological_process	1
GO:0006424	biological_process	2
GO:0006426	biological_process	2
GO:0006427	biological_process	1
GO:0006428	biological_process	1
GO:0006429	biological_process	1
GO:0006430	biological_process	1
GO:0006431	biological_process	1
GO:0006432	biological_process	2
GO:0006433	biological_process	1
GO:0006434	biological_process	1
GO:0006435	biological_process	1
GO:0006436	biological_process	1
GO:0006437	biological_process	1
GO:0006438	biological_process	1
GO:0006446	biological_process	1
GO:0006450	biological_process	1
GO:0006457	biological_process	12
GO:0006465	biological_process	1
GO:0006479	biological_process	2
GO:0006487	biological_process	1
GO:0006508	biological_process	18
GO:0006515	biological_process	2
GO:0006518	biological_process	1
GO:0006520	biological_process	6
GO:0006522	biological_process	1
GO:0006523	biological_process	1
GO:0006524	biological_process	1
GO:0006525	biological_process	1
GO:0006526	biological_process	1
GO:0006527	biological_process	1
GO:0006528	biological_process	1
GO:0006531	biological_process	1
GO:0006534	biological_process	1
GO:0006535	biological_process	2
GO:0006537	biological_process	1
GO:0006541	biological_process	2
GO:0006542	biological_process	1
GO:0006556	biological_process	1
GO:0006561	biological_process	1
GO:0006564	biological_process	2
GO:0006565	biological_process	1
GO:0006566	biological_process	1
GO:0006568	biological_process	3
GO:0006571	biological_process	1
GO:0006605	biological_process	5
GO:0006614	biological_process	3
GO:0006616	biological_process	1
GO:0006629	biological_process	2
GO:0006633	biological_process	12
GO:0006646	biological_process	1
GO:0006654	biological_process	2
GO:0006725	biological_process	1
GO:0006729	biological_process	1
GO:0006730	biological_process	1
GO:0006741	biological_process	1
GO:0006744	biological_process	3
GO:0006749	biological_process	2
GO:0006751	biological_process	1
GO:0006753	biological_process	1
GO:0006760	biological_process	1
GO:0006771	biological_process	1
GO:0006772	biological_process	2
GO:0006777	biological_process	3
GO:0006779	biological_process	2
GO:0006780	biological_process	1
GO:0006782	biological_process	1
GO:0006783	biological_process	3
GO:0006796	biological_process	1
GO:0006799	biological_process	1
GO:0006801	biological_process	1
GO:0006807	biological_process	13
GO:0006812	biological_process	7
