GO_terms	freq	namespace
GO:0004828	1	molecular_function
GO:0004829	1	molecular_function
GO:0004830	1	molecular_function
GO:0004831	1	molecular_function
GO:0004832	1	molecular_function
GO:0004834	2	molecular_function
GO:0004844	1	molecular_function
GO:0005047	2	molecular_function
GO:0005048	1	molecular_function
GO:0005198	2	molecular_function
GO:0005198	4	molecular_function
GO:0005283	1	molecular_function
GO:0005298	1	molecular_function
GO:0005337	1	molecular_function
GO:0005354	1	molecular_function
GO:0005506	3	molecular_function
GO:0005506	4	molecular_function
GO:0005507	3	molecular_function
GO:0005515	4	molecular_function
GO:0005515	4	molecular_function
GO:0005524	73	molecular_function
GO:0005524	37	molecular_function
GO:0005525	13	molecular_function
GO:0005525	2	molecular_function
GO:0005536	1	molecular_function
GO:0005543	1	molecular_function
GO:0005622	2	cellular_component
GO:0005622	1	cellular_component
GO:0005634	2	cellular_component
GO:0005694	2	cellular_component
GO:0005730	1	cellular_component
GO:0005737	89	cellular_component
GO:0005737	9	cellular_component
GO:0005739	2	cellular_component
GO:0005789	1	cellular_component
GO:0005829	92	cellular_component
GO:0005829	6	cellular_component
GO:0005839	1	cellular_component
GO:0005840	39	cellular_component
GO:0005840	1	cellular_component
GO:0005886	22	cellular_component
GO:0005886	18	cellular_component
GO:0005887	21	
GO:0005887	6	
GO:0005951	1	cellular_component
GO:0005975	7	biological_process
GO:0005976	1	biological_process
GO:0005986	1	biological_process
GO:0006000	1	biological_process
GO:0006002	1	biological_process
GO:0006002	1	biological_process
GO:0006006	3	biological_process
GO:0006007	1	biological_process
GO:0006011	1	biological_process
GO:0006012	1	biological_process
GO:0006015	1	biological_process
GO:0006048	2	biological_process
GO:0006072	1	biological_process
GO:0006083	1	biological_process
GO:0006090	1	biological_process
GO:0006096	1	biological_process
GO:0006096	4	biological_process
GO:0006098	3	biological_process
GO:0006098	1	biological_process
GO:0006099	1	biological_process
GO:0006106	1	biological_process
GO:0006108	1	biological_process
GO:0006109	1	biological_process
GO:0006139	2	biological_process
GO:0006145	1	biological_process
GO:0006152	1	biological_process
GO:0006163	1	biological_process
GO:0006164	3	biological_process
GO:0006168	1	biological_process
GO:0006177	1	biological_process
GO:0006183	2	biological_process
GO:0006189	1	biological_process
GO:0006207	2	biological_process
GO:0006221	3	biological_process
GO:0006222	1	biological_process
GO:0006226	1	biological_process
GO:0006227	1	biological_process
GO:0006233	1	biological_process
GO:0006235	1	biological_process
GO:0006241	1	biological_process
GO:0006241	1	biological_process
GO:0006259	1	biological_process
GO:0006260	3	biological_process
GO:0006261	1	biological_process
GO:0006261	2	biological_process
GO:0006265	3	biological_process
GO:0006268	3	biological_process
GO:0006269	1	biological_process
GO:0006270	2	biological_process
GO:0006270	1	biological_process
GO:0006271	1	biological_process
GO:0006275	1	biological_process
GO:0006281	16	biological_process
GO:0006281	1	biological_process
GO:0006284	5	biological_process
GO:0006288	1	biological_process
GO:0006289	2	biological_process
GO:0006298	5	biological_process
GO:0006302	3	biological_process
GO:0006304	1	biological_process
GO:0006304	1	biological_process
GO:0006308	2	biological_process
GO:0006310	5	biological_process
GO:0006310	4	biological_process
GO:0006351	3	biological_process
GO:0006352	3	biological_process
GO:0006353	2	biological_process
GO:0006353	1	biological_process
GO:0006354	1	biological_process
GO:0006354	1	biological_process
GO:0006355	3	biological_process
GO:0006364	3	biological_process
GO:0006364	1	biological_process
GO:0006396	5	biological_process
GO:0006400	6	biological_process
GO:0006400	1	biological_process
GO:0006401	1	biological_process
GO:0006402	4	biological_process
GO:0006402	1	biological_process
GO:0006412	52	biological_process
GO:0006412	2	biological_process
GO:0006413	1	biological_process
GO:0006414	2	biological_process
GO:0006414	1	biological_process
GO:0006418	14	biological_process
GO:0006419	1	biological_process
GO:0006422	1	biological_process
GO:0006423	1	biological_process
GO:0006424	2	biological_process
GO:0006426	2	biological_process
GO:0006428	1	biological_process
GO:0006430	1	biological_process
GO:0006431	1	biological_process
GO:0006432	2	biological_process
GO:0006433	1	biological_process
GO:0006435	1	biological_process
GO:0006436	1	biological_process
GO:0006437	1	biological_process
GO:0006438	1	biological_process
GO:0006446	1	biological_process
GO:0006457	8	biological_process
GO:0006465	1	biological_process
GO:0006479	1	biological_process
GO:0006479	1	biological_process
GO:0006487	1	biological_process
GO:0006508	13	biological_process
GO:0006508	3	biological_process
GO:0006515	1	biological_process
GO:0006520	4	biological_process
GO:0006520	1	biological_process
GO:0006522	1	biological_process
GO:0006523	1	biological_process
GO:0006526	1	biological_process
GO:0006528	1	biological_process
GO:0006531	1	biological_process
GO:0006534	1	biological_process
GO:0006535	1	biological_process
GO:0006535	1	biological_process
GO:0006541	2	biological_process
GO:0006542	1	biological_process
GO:0006556	1	biological_process
GO:0006564	2	biological_process
GO:0006565	1	biological_process
GO:0006566	1	biological_process
GO:0006568	1	biological_process
GO:0006605	3	biological_process
GO:0006614	2	biological_process
GO:0006614	1	biological_process
GO:0006629	1	biological_process
GO:0006629	1	biological_process
GO:0006633	5	biological_process
GO:0006633	7	biological_process
GO:0006646	1	biological_process
GO:0006654	2	biological_process
GO:0006730	1	biological_process
GO:0006741	1	biological_process
GO:0006744	2	biological_process
GO:0006751	1	biological_process
GO:0006753	1	biological_process
GO:0006760	1	biological_process
GO:0006771	1	biological_process
GO:0006772	1	biological_process
GO:0006779	2	biological_process
GO:0006780	1	biological_process
GO:0006783	1	biological_process
GO:0006783	1	biological_process
GO:0006799	1	biological_process
GO:0006807	8	biological_process
GO:0006812	7	biological_process
GO:0006814	1	biological_process
GO:0006817	1	biological_process
GO:0006824	1	biological_process
GO:0006825	1	biological_process
GO:0006826	2	biological_process
GO:0006826	2	biological_process
GO:0006865	6	biological_process
GO:0006879	1	biological_process
GO:0006879	1	biological_process
GO:0006885	1	biological_process
GO:0006886	1	biological_process
GO:0006935	3	biological_process
GO:0006935	2	biological_process
GO:0006974	1	biological_process
GO:0006974	1	biological_process
GO:0006979	4	biological_process
GO:0007059	1	biological_process
GO:0007155	1	biological_process
GO:0007165	8	biological_process
GO:0008033	6	biological_process
GO:0008047	1	molecular_function
GO:0008081	1	molecular_function
GO:0008097	2	molecular_function
GO:0008107	1	molecular_function
GO:0008113	1	molecular_function
GO:0008134	1	molecular_function
