tmp_code	GO_terms
tmp_000114	['GO:0008836', 'GO:0009089', 'GO:0045312', 'GO:0003824', 'GO:0016831']
tmp_000116	['GO:0016776', 'GO:0005886', 'GO:0009244', 'GO:0016772', 'GO:0016020']
tmp_000119	['GO:0006571', 'GO:0004665', 'GO:0008977', 'GO:0070403']
tmp_000120	['GO:0030163', 'GO:0016887', 'GO:0006515', 'GO:0005524', 'GO:0004176', 'GO:0006508', 'GO:0004252', 'GO:0043565']
tmp_000121	['GO:0005515']
tmp_000122	['GO:0044780']
tmp_000123	['GO:0016836', 'GO:0006633']
tmp_000124	['GO:0008610', 'GO:0008780']
tmp_000125	['GO:0046983', 'GO:0016887', 'GO:0051301', 'GO:0006457', 'GO:0140662', 'GO:0051082', 'GO:0005524', 'GO:0009376', 'GO:0051603', 'GO:0008270']
tmp_000126	['GO:0000902']
tmp_000127	['GO:0008360', 'GO:0005886']
tmp_000128	['GO:0016787', 'GO:0003677', 'GO:0005524']
tmp_000129	['GO:0008170', 'GO:0003677', 'GO:0009007', 'GO:0005737', 'GO:0008168']
tmp_000130	['GO:0003676', 'GO:0008170', 'GO:0003677', 'GO:0032259', 'GO:0008168']
tmp_000131	['GO:0006355', 'GO:0005829', 'GO:0032993', 'GO:0000160', 'GO:0000976', 'GO:0003677', 'GO:0000156']
tmp_000132	['GO:0000160', 'GO:0007165', 'GO:0000155', 'GO:0005886']
tmp_000133	['GO:0052856', 'GO:0052857', 'GO:0052855', 'GO:0016836', 'GO:0110051']
tmp_000134	['GO:0006260', 'GO:0005829', 'GO:0003678', 'GO:0003677', 'GO:0005524', 'GO:0006268']
tmp_000136	['GO:0016765', 'GO:0005887', 'GO:0006744', 'GO:0016020']
tmp_000139	['GO:0004609', 'GO:0006646', 'GO:0008654']
tmp_000140	['GO:0034628', 'GO:0005829', 'GO:0008987', 'GO:0051539', 'GO:0009435']
tmp_000141	['GO:0004514', 'GO:0016763', 'GO:0034213', 'GO:0005737', 'GO:0009435']
tmp_000142	['GO:0003677', 'GO:0008170']
tmp_000144	['GO:0003676', 'GO:0008170', 'GO:0003677', 'GO:0005737', 'GO:0032259', 'GO:0008168', 'GO:0009007']
tmp_000147	['GO:0007165', 'GO:0004175', 'GO:0006508', 'GO:0030288', 'GO:0008236', 'GO:0005515']
tmp_000149	['GO:0008654', 'GO:0016746', 'GO:0006654', 'GO:0003841', 'GO:0016020']
tmp_000150	['GO:0005634', 'GO:0004844', 'GO:0006281', 'GO:0006284', 'GO:0005739', 'GO:0097510', 'GO:0016799']
tmp_000151	['GO:0016620', 'GO:0005829', 'GO:0050661', 'GO:0051287', 'GO:0006006', 'GO:0004365']
tmp_000152	['GO:0006094', 'GO:0005829', 'GO:0005524', 'GO:0004618', 'GO:0006096', 'GO:0043531']
tmp_000153	['GO:0015099', 'GO:0015095', 'GO:0015693', 'GO:0015087', 'GO:0030001', 'GO:0046873', 'GO:0006824', 'GO:0016020', 'GO:0055085']
tmp_000154	['GO:0016020']
tmp_000155	['GO:0003676', 'GO:0008170', 'GO:0003677', 'GO:0005737', 'GO:0032259', 'GO:0008168']
tmp_000157	['GO:0031402', 'GO:0006814', 'GO:0005298', 'GO:0005887', 'GO:0015824', 'GO:0016020', 'GO:0055085', 'GO:0015193', 'GO:0022857']
tmp_000158	['GO:0016620', 'GO:0006355', 'GO:0016491', 'GO:0003842', 'GO:0004657', 'GO:0003700', 'GO:0009898', 'GO:0010133']
tmp_000170	['GO:0006807', 'GO:0016151']
tmp_000171	['GO:0006807', 'GO:0003924', 'GO:0016151']
tmp_000172	['GO:0006807', 'GO:0016151']
tmp_000173	['GO:0006457', 'GO:0016151', 'GO:0019627', 'GO:0005737', 'GO:0065003']
tmp_000174	['GO:0016020']
tmp_000175	['GO:0009039', 'GO:0016151', 'GO:0016787', 'GO:0006807', 'GO:0016810']
tmp_000176	['GO:0043419', 'GO:0016151', 'GO:0035550']
tmp_000178	['GO:0004190', 'GO:0016020', 'GO:0006508']
tmp_000179	['GO:0004615', 'GO:0016868', 'GO:0005829', 'GO:0005975', 'GO:0006048', 'GO:0000287', 'GO:0071704', 'GO:0009252', 'GO:0008966']
tmp_000180	['GO:0003723', 'GO:0005829', 'GO:0005840', 'GO:0006412', 'GO:0070181', 'GO:0015935', 'GO:0003735']
tmp_000181	['GO:0006415', 'GO:0016149', 'GO:0003747']
tmp_000185	['GO:0007165', 'GO:0016020']
tmp_000186	['GO:0003723', 'GO:0005840', 'GO:0006412', 'GO:0015935', 'GO:0003735']
tmp_000187	['GO:0022625', 'GO:0017148', 'GO:0005840', 'GO:0006412', 'GO:0003729', 'GO:0003735']
tmp_000189	['GO:0047545', 'GO:0006099', 'GO:0008924', 'GO:0005737']
tmp_000191	['GO:0006355', 'GO:0016987', 'GO:0006352', 'GO:0003677', 'GO:0003700']
tmp_000201	['GO:0022625', 'GO:0005840', 'GO:0006412', 'GO:0019843', 'GO:0000027', 'GO:0003735']
tmp_000202	['GO:0022625', 'GO:0003735', 'GO:0005840', 'GO:0006412', 'GO:0015934']
